order_id,customer_id,order_date,amount,currency,status,items,is_valid_amount,is_outlier,name,email,country,signup_date,email_missing,payment_date,payment_method,paid_amount,order_year,payment_delay_days,is_fully_paid
O00001,C0057,,382.17,USD,Canceled,"[{'sku': 'SKU410', 'qty': 1, 'unit_price': 94.82}]",True,False,  Kavya Das  ,kavya.das@corp.org,Spain,01/09/2024,False,,,0.0,,,False
O00002,C0035,,302.15,USD,Canceled,,True,False,Vihaan Verma,MISSING,France,11/12/2024,True,,,0.0,,,False
O00003,C0047,2025-09-28,157.72,USD,Canceled,,True,False,Karan Gupta,MISSING,U.K.,14-Sep-2025,True,,,0.0,2025.0,,False
O00004,C0036,2025-02-04,280.78,GBP,Return,,True,False,  Kabir Iyer  ,kabir.iyer@corp.org,Spain,2024-09-11,False,,,0.0,2025.0,,False
O00005,C0006,2025-07-12,325.21,EUR,Complete,,True,False,Kavya Sharma,kavya.sharma@example.com,France,16-Dec-2024,False,2025-12-20,PayPal,325.21,2025.0,161.0,True
O00006,C0022,2025-04-26,144.64,GBP,Pending,,True,False,Dev Patel,dev.patel@example.com,U.S.,2025/12/26,False,,,0.0,2025.0,,False
O00007,C0030,2025-06-23,120.9,INR,Pending,,True,False,Arjun Jain,arjun.jain@mail.com,India,01-21-2025,False,,,0.0,2025.0,,False
O00008,C0014,2025-09-20,291.27,EUR,Pending,,True,False,Aisha Singh,aisha.singh@mail.com,France,09-Nov-2025,False,,,0.0,2025.0,,False
O00009,C0021,2025-09-05,306.37,EUR,Refunded,,True,False,  Renée Khan  ,renée.khan@corp.org,Germany,04-May-2024,False,,,0.0,2025.0,,False
O00010,C0010,2025-05-20,122.1,GBP,Pending,"[{'sku': 'SKU658', 'qty': 2, 'unit_price': 165.28}, {'sku': 'SKU544', 'qty': 3, 'unit_price': 83.95}, {'sku': 'SKU707', 'qty': 1, 'unit_price': 89.81}]",True,False,Maya Jain,maya.jain@example.com,Spain,2024/09/23,False,,,0.0,2025.0,,False
O00011,C0044,2026-01-26,217.4,GBP,Unknown,,True,False,Manish Das,manish.das@corp.org,United States,2024-11-19,False,,,0.0,2026.0,,False
O00012,C0043,2025-12-08,185.15,USD,Pending,,True,False,Siddharth Nair,siddharth.nair@example.com,Germany,2024/03/09,False,,,0.0,2025.0,,False
O00013,C9005,2026-01-05,374.57,GBP,Pending,,True,False,,,,,,,,0.0,2026.0,,False
O00014,C0001,2025-09-14,153.33,INR,Canceled,"[{'sku': 'SKU330', 'qty': 3, 'unit_price': 19.9}, {'sku': 'SKU762', 'qty': 2, 'unit_price': 5.0}]",True,False,Anaya Mehta,anaya.mehta@example.com,In,30-Sep-2025,False,,,0.0,2025.0,,False
O00015,C0030,2025-07-10,375.19,EUR,Refunded,,True,False,Arjun Jain,arjun.jain@mail.com,India,01-21-2025,False,,,0.0,2025.0,,False
O00016,C0010,2025-10-12,250.85,EUR,Return,,True,False,Maya Jain,maya.jain@example.com,Spain,2024/09/23,False,,,0.0,2025.0,,False
O00017,C0006,2025-08-12,73.97,EUR,Completed,"[{'sku': 'SKU368', 'qty': 3, 'unit_price': 5.0}, {'sku': 'SKU343', 'qty': 1, 'unit_price': 133.91}, {'sku': 'SKU980', 'qty': 1, 'unit_price': 94.2}, {'sku': 'SKU153', 'qty': 1, 'unit_price': 49.65}]",True,False,Kavya Sharma,kavya.sharma@example.com,France,16-Dec-2024,False,2025-04-18,Cash,44.38,2025.0,-116.0,False
